name,label,Description,DescriptionFR,GroupName1,WebsiteURL1,GroupName2,WebsiteURL2,GroupName3,WebsiteURL3,GroupName4,WebsiteURL4,TCTmapsURL,Scale,ProvinceTXT,ProvinceTXTFR,Length,category,categorie,TrailType,TypeSentier,Activities,ActivitesFR,pointX,pointY
Les Grandes-Fourches,Les Grandes-Fourches,,,Ville de Sherbrooke,https://www.ville.sherbrooke.qc.ca/fileadmin/fichiers/geomatique/cartes/PCYCLABLE2011_4avril.pdf,La Route Verte,https://www.routeverte.com/cartographie-route-verte/,,,,,,,Quebec,Québec,87.109999999999999,"Greenway, Road","Corridor vert, Route","Gravel Trail, Paved Trail, Gravel Road, Paved Road","Sentier en poussière de pierre, Sentier pavé, Route en gravier, Route pavée","Walking / hiking, Road cycling, Cross-country skiing","Marche / randonnée pédestre, Vélo de route, Ski de fond",-72.0743037,45.301385199999999
L'Estriade,L'Estriade,"This trail is paved all the way from Granby to Waterloo and is a delight for cyclists, hikers and roller-bladers.  The scenery is wonderful along Lac Boivin, then through wetlands, open fields, forested areas and several parks.  The flora and fauna are diverse with over 200 species of birds.  The trail features 15 monumental sculptures, a number of rest stops, plus views of Mont Brome to the south which is easily recognized by its ski trails. Visit Relais des Cheminots which includes a visitor centre with trail information.  Waterloo is a picturesque town with many century old buildings which you can see on the town’s Circuit du Patrimonie.","Ce sentier est pavé de Granby à Waterloo et offre une expérience des plus agréables aux cyclistes, randonneurs et amateurs de patins à roues alignées. Le paysage est magnifique le long du Lac Boivin; le sentier passe ensuite à travers des terres humides, des champs ouverts, des aires boisées et plusieurs parcs. La flore et la faune sont des plus diversifiées, avec plus de 200 espèces d’oiseaux. Le sentier comprend 15 sculptures monumentales ainsi qu’un certain nombre de haltes routières; il offre des vues sur le Mont Brome vers le sud, aisément reconnaissable à ses pistes de ski. Visitez le Relais des Cheminots qui comprend un centre de visiteurs où l’on peut trouver de l’information sur le sentier. Waterloo est une ville pittoresque avec de nombreux bâtiments centenaires que l’on peut voir sur le Circuit du Patrimoine de la ville.",L'Estriade,http://www.estriade.net/index.php?lang=fr,La Route Verte,https://www.routeverte.com/cartographie-route-verte/,Tourisme Cantons-de-l'Est,http://www.cantonsdelest.com/thematicArticle/86/uunmarked-tours-bike-circuits-and-cycling-trails-pdf,,,,120000,Quebec,Québec,39.090000000000003,"Greenway, Road","Corridor vert, Route","Paved Trail, Paved Road","Sentier pavé, Route pavée","Walking / hiking, Road cycling, Cross-country skiing, Rollerblading","Marche / randonnée pédestre, Vélo de route, Ski de fond, Patin à roues alignées",-72.836984,45.349206549999998
Lieu historique national du Canal de Chambly,Lieu historique national du Canal de Chambly,"This easy trail runs from Chambly to Saint-Jean-Sur-Richelieu, along the historic Chambly Canal.  Opened in 1843 to allow steam boats, barges and sailboats to bypass rapids on the Richelieu River and facilitate trade between Canada and the US, the Canal is now a National Historic Site of Canada. The trail is on the old towpath that once bordered the canal. Visitors can see lock keepers manually activating the gates and bridges at the nine locks, as well as historic gatehouses.   Chambly and Saint-Jean-Sur-Richelieu are delightful towns,   rich in history, with many attractions including the Fort Chambly National Historic Site of Canada.","Ce sentier facile d’utilisation va de Chambly à Saint-Jean-Sur-Richelieu, en longeant le canal historique de Chambly. Il a été ouvert en 1843 afin de permettre aux bateaux à vapeur, aux péniches et aux bateaux à voile de contourner les rapides sur la rivière Richelieu et de faciliter le commerce entre le Canada et les États-Unis. Le canal est classé maintenant comme un site historique national. Le sentier suit le chemin de halage qui bordait autrefois le canal. Les visiteurs peuvent voir les éclusiers actionner manuellement les écluses et les ponts aux neuf écluses et admirer les maisons éclusières historiques. Chambly et Saint-Jean-Sur-Richelieu sont de charmantes villes, riches en histoire, offrant de nombreux points d’attraction, dont le Fort Chambly classé comme site historique national.",Parcs Canada,https://www.pc.gc.ca/fr/lhn-nhs/qc/chambly/activ/sentiers-trails/piste-path,La Route Verte,https://www.routeverte.com/cartographie-route-verte/,,,,,,130000,Quebec,Québec,19.359999999999999,Greenway,Corridor vert,"Gravel Trail, Paved Trail","Sentier en poussière de pierre, Sentier pavé","Walking / hiking, Road cycling, Cross-country skiing","Marche / randonnée pédestre, Vélo de route, Ski de fond",-73.28297697,45.447081990000001
Lincoln Trail,Lincoln Trail,"This trail will lead users along riverside bottomland scrub and floodplain forest down below the bank, and through remnant clumps of mature upland hardwood forest that are sprinkled with amazing flower gardens of some of the grandest river homes in Fredericton. This semi-developed shoreline habitat is complimented by a large block of mature hardwoods located on Agriculture Canada’s Experimental Farm across the road. Those amazing flower gardens are a great place to spot a Ruby-throated Hummingbird zipping about from flower to feeder. Courtesy of: Discover the Passage","Ce sentier mène ses utilisateurs dans les broussailles des terres basses, au bord du fleuve, et dans la forêt alluviale située en dessous du niveau de la berge. Admirez les bouquets restants de forêt de feuillus matures des hautes terres, parsemées de jardins de fleurs impressionnants des plus grandioses maisons riveraines de Fredericton. Cet habitat littoral à moitié aménagé bénéficie d’un grand bosquet d’arbres feuillus matures situé à la ferme expérimentale d’Agriculture Canada, de l’autre côté de la route. Ces superbes jardins sont un endroit tout indiqué pour repérer un colibri à gorge rubis faisant la navette entre les fleurs et la mangeoire. Publié avec l’autorisation de Discover the Passage.",City of Fredericton,https://www.fredericton.ca/en/roads-parking/active-transportation/trails,Fredericton Trail Coalition,http://www.frederictontrailscoalition.com/,Discover the Passage,https://discoverthepassage.com/the-birding-route/,,,,,New Brunswick,Nouveau-Brunswick,22.539999999999999,"Greenway, Road","Corridor vert, Route","Gravel Trail, Paved Trail, Paved Road","Sentier en poussière de pierre, Sentier pavé, Route pavée","Walking / hiking, Road cycling, Horseback riding, Cross-country skiing, Mountain biking, Rollerblading","Marche / randonnée pédestre, Vélo de route, Équitation, Ski de fond, Vélo de montagne, Patin à roues alignées",-66.63296181,45.956424990000002
Living Levee Trail,Living Levee Trail,"To access Living Levee Trail, walk through the award-winning park where formal promenades blend with historical limestone architecture. The levee also continues north from the Parkhill Dam along Dan Spring Way, past historic Galt Collegiate Institute to Augusta Street. By following the promenade south along Water Street, past the lookout at Barradell's Loft, hikers can connect with the Great Western Rail Line Trail to Hamilton via Paris and Brantford. By crossing the Main Street bridge to Dalton Court, hikers can continue south along the river's west side to Absalom's Walk, past the sculpture gardens, McDougall's Cottage Interpretive Centre and the factory mill outlets, continuing to the Waterworks Park terminus. Living Levee Trail runs along on the 1850's Great Western Rail Line. Courtesy of Ontario Trails.","Pour accéder au sentier Living Levee, traversez le parc primé, où les avenues solennelles côtoient les bâtiments historiques en calcaire. La digue continue vers le nord, depuis le barrage ParkHill le long Dan Spring Way, devant le Galt Collegiate Institute centenaire, en direction de la rue Augusta. En suivant la promenade vers le sud, sur la rue Water, en dépassant le point de vue Barradell’s Loft, les randonneurs peuvent rejoindre le sentier ferroviaire Great Western, qui conduit à Hamilton par Paris et Brantford. En franchissant le pont de la rue principale en direction de Dalton Court, les randonneurs peuvent poursuivre leur chemin vers le sud. Ils suivront la rive ouest de la rivière jusqu’à la promenade Absalom, aux jardins de sculpture, au centre d’interprétation McDougall’s Cottage et aux magasins d’usine pour aboutir au parc Waterworks, où se termine le sentier. Le sentier Living Levee longe la ligne ferroviaire Great Western des années 1850. Publié avec l’autorisation du Conseil des sentiers de l’Ontario.",City of Cambridge,https://www.cambridge.ca/en/parks-recreation-culture/Trails-List.aspx,Ontario Trails,https://www.ontariotrails.on.ca/trails/view/living-levee-trail,,,,,,,Ontario,Ontario,3.510000000000000,"Greenway, Road","Corridor vert, Route","Paved Trail, Paved Road","Sentier pavé, Route pavée","Walking / hiking, Road cycling, Cross-country skiing, Mountain biking, Snowshoeing","Marche / randonnée pédestre, Vélo de route, Ski de fond, Vélo de montagne, Raquette",-80.31490582,43.344285759999998
Rural Municipality of Lorne,Rural Municipality of Lorne,"The Lorne trail runs from the Rural Municipality of Victoria boundary near Cypress River to Rural Municipality of Thompson boundary near Dearwood.  The route enters the municipality just south of Cypress River, meanders through the valley to Lake Seven, carries on to the east to the village of Bruxelles, then south to Swan Lake, and down the old #23 Hwy to Somerset. From Somerset, the trail heads south to the village of St. Leon to a walking trail around the town’s lake. This section of trail is situated in the gently rolling hills and fertile lands of southern Manitoba. It is bordered on the east by the Pembina Hills, by the Tiger Hills on the north and west, and the Pembina Valley on the south. The Pembina River drains a series of lakes including the popular Swan Lake to the south. As you approach St. Leon, you can’t miss the giant windmills harnessing the energy from the prairie winds. Courtesy of Trails Manitoba.","Le sentier Lorne conduit de la frontière de la municipalité rurale de Victoria, près de la rivière Cypress, à la frontière de la municipalité rurale de Thompson, à proximité de Dearwood.  La route entre dans la municipalité au sud de la rivière Cypress, serpente dans la vallée jusqu’au lac Seven, continue vers l’est, au village de Bruxelles, puis au sud jusqu’au lac Swan, avant de descendre l’ancienne route 23 vers Somerset. Depuis Somerset, le sentier prend le sud pour aboutir au village de St. Leon, où un sentier pédestre entoure le lac du même nom. Ce tronçon du sentier sillonne les paysages légèrement vallonnés et les terres fertiles du sud du Manitoba. À l’est, il se limite aux collines Pembina, au nord et à l’ouest aux collines Tiger et au sud à la vallée Pembina. Plusieurs lacs s’écoulent dans la rivière Pembina, dont le prisé lac Swan au sud. À l’approche de St. Leon, vous ne pourrez pas manquer les éoliens gigantesques, qui accueillent l’énergie des vents de la prairie. Publié avec l’autorisation de Sentiers Manitoba.",Trails Manitoba,http://www.trailsmanitoba.ca/explore-manitoba-trails/assiniboine-delta-pembina-hills/lorne-trail/,,,,,,,,,Manitoba,Manitoba,76.790000000000006,"Greenway, Road","Corridor vert, Route","Natural Trail, Gravel Road, Paved Road","Sentier naturel, Route en gravier, Route pavée","Walking / hiking, Road cycling, Horseback riding","Marche / randonnée pédestre, Vélo de route, Équitation",-98.40813912,49.399236000000002
Lumsden to Buffalo Pound Connector,Lumsden to Buffalo Pound Connector,,,,,,,,,,,,,Saskatchewan,Saskatchewan,37.880000000000003,"Greenway, Road","Corridor vert, Route","Natural Trail, Gravel Road","Sentier naturel, Route en gravier","Walking / hiking, Road cycling","Marche / randonnée pédestre, Vélo de route",-105.2898581,50.557615020000000
Mackenzie River Trail,Mackenzie River Trail,"The Mackenzie River Trail offers 1660 kilometers of pristine, backcountry paddling through the vast boreal forest, sub-arctic terrain and tundra barrens of the Northwest Territories. It is a fur-trading heritage route, named after Alexander Mackenzie, the first European to travel its length in 1789. It is also an aboriginal heritage route, passing through the Inuvialuit Settlement Region and three distinct Dene territories.","Le sentier aquatique du fleuve Mackenzie est une voie navigable de 1660 kilomètres qui traverse la vaste forêt boréale, les terres subarctiques et la toundra des Territoires du Nord-Ouest. Jadis une route patrimoniale qui servait à la traite des fourrures, le fleuve a été nommé en l’honneur d’Alexander Mackenzie, le premier Européen à l’avoir parcouru sur toute sa longueur en 1789. Faisant aussi partie intégrante du patrimoine autochtone, le sentier aquatique traverse la région désignée des Inuvialuits et trois territoires Déné distincts.",Spectacular Northwest Territories - TCT,https://spectacularnwt.com/attraction/trans-canada-trail,Spectacular Northwest Territories - Mackenzie River,https://spectacularnwt.com/attraction/mackenzie-river,,,,,,11500000,Northwest Territories,Territoires du Nord-Ouest,1661.490000000000009,Water Route,Voie navigable,Water Trail,Voie navigable,Paddling,Canotage,-117.6014733,61.307397229999999
Madawaska First Nation,Madawaska First Nation,,,Madawaska First Nation,https://madawaskamaliseetfirstnation.com/en/about-us/history-culture,,,,,,,,,New Brunswick,Nouveau-Brunswick,1.720000000000000,"Greenway, Road","Corridor vert, Route","Gravel Trail, Paved Road","Sentier en poussière de pierre, Route pavée","Walking / hiking, Road cycling","Marche / randonnée pédestre, Vélo de route",-68.29266996,47.363067989999998
Maniwaki à Grand-Remous,Maniwaki à Grand-Remous,,,,,,,,,,,,,Quebec,Québec,32.770000000000003,Road,Route,"Gravel Road, Paved Road","Route en gravier, Route pavée","Walking / hiking, Road cycling, Mountain biking, Snowshoeing","Marche / randonnée pédestre, Vélo de route, Vélo de montagne, Raquette",-75.9763872,46.374006530000003
Meewasin Trail,Meewasin Trail,"“Meewasin” is the Cree word for beautiful, which aptly describes this oasis of exceptional beauty in the midst of the Saskatchewan prairies. Stretching nearly sixty kilometres, from Pike Lake in the southwest to Clarke’s Crossing in the northeast, the Meewasin Valley follows the winding curve of the South Saskatchewan River as it passes through the rural municipality of Corman Park and the city of Saskatoon. Many parks and sites are located along the Meewasin Trail, a must-see attraction. The trail runs along both sides of the river, winding under the bridges, and through beautifully landscaped parks and natural areas. Residents and visitors flock to the trail to cycle, jog, stroll or simply gaze at the scenery. Courtesy of Meewasin Valley Authority.","« Meewasin » signifie « beau » en cri. C’est une description tout à fait adéquate de cette oasis d’un charme exceptionnel située au milieu des prairies de la Saskatchewan. Étalée sur près 60 km, depuis le lac Pike au sud-ouest jusqu’à Clarke’s Crossing au nord-est, la vallée de Meewasin suit les ondulations de la rivière Saskatchewan Sud, qui traverse la municipalité rurale de Corman Park et la ville de Saskatoon. Plusieurs parcs et sites se trouvent le long du sentier Meewasin, qui constitue une attraction incontournable. Le sentier suit la rivière des deux côtés, passant sous les ponts et sillonnant des parcs merveilleusement aménagés et des secteurs naturels. Les résidents comme les visiteurs affluent sur le sentier pour faire du vélo, de la course à pied ou des promenades ou, encore, pour contempler le paysage. Publié avec l’autorisation de l’autorité de la vallée de Meewasin.",Meewasin Valley,https://meewasin.com/map/,Meewasin Valley Trail Brochure,https://meewasin.com/wp-content/uploads/2019/11/Meewasin-Trail-Guide-2018.pdf,Wanuskewin Heritage Park,https://wanuskewin.com/,,,,,Saskatchewan,Saskatchewan,24.980000000000000,Greenway,Corridor vert,"Gravel Trail, Paved Trail","Sentier en poussière de pierre, Sentier pavé","Walking / hiking, Road cycling, Cross-country skiing, Mountain biking, Snowshoeing","Marche / randonnée pédestre, Vélo de route, Ski de fond, Vélo de montagne, Raquette",-106.6766083,52.114616959999999
Regional Municipalities of McLeod and Stanley Connector,Regional Municipalities of McLeod and Stanley Connector,,,,,,,,,,,,,Saskatchewan,Saskatchewan,45.820000000000000,"Greenway, Road","Corridor vert, Route","Gravel Trail, Gravel Road, Paved Road","Sentier en poussière de pierre, Route en gravier, Route pavée","Walking / hiking, Road cycling","Marche / randonnée pédestre, Vélo de route",-102.9142462,50.645030040000002
City of Melville,City of Melville,,,Saskatchewan Trails Association,https://sasktrails.ca/,Tourism Saskatchewan,https://www.tourismsaskatchewan.com/things-to-do/outdoor-activities/trails#sort=relevancy,,,,,,,Saskatchewan,Saskatchewan,6.310000000000000,"Greenway, Road","Corridor vert, Route","Natural Trail, Paved Road","Sentier naturel, Route pavée","Walking / hiking, Road cycling, Cross-country skiing, Mountain biking","Marche / randonnée pédestre, Vélo de route, Ski de fond, Vélo de montagne",-102.820617,50.936650020000002
Town of Grand-Bay-Westfield,Town of Grand-Bay-Westfield,"The Grand Bar-Westfield Municipal Heritage Trail stretches the length of the community, along the shores of the Saint John and Nerepis Rivers.",,Town of Grand Bay-Westfield,https://www.town.grandbay-westfield.nb.ca/visitors/trans-canada-trail/,Sentier NB Trail,https://www.hikingnb.ca/,,,,,,,New Brunswick,Nouveau-Brunswick,6.830000000000000,"Greenway, Road","Corridor vert, Route","Gravel Trail, Paved Road","Sentier en poussière de pierre, Route pavée","Walking / hiking, Road cycling","Marche / randonnée pédestre, Vélo de route",-66.19548888,45.297896039999998
Miami - Thompson Trail,Miami - Thompson Trail,"The Miami-Thompson Trail runs from the boundary road between the rural municipality (RM) of Thompson and the RM of Lorne near Deerwood to the northern terminus of Ridge Road, to boundary road with the RM of Stanley.  This area is unique in that it highlights Manitoba’s escarpment – one of the few features on our landscape that predates the lost glacier. This area provides amazing viewpoints to be enjoyed by all. There are several excellent views of the Red River Valley Lowlands from the top of the escarpment including the view from the Wayside Park. At the bottom of Wiener Hill the trail crosses Highway #23 and descends to the Tobacco Creek footbridge near the Mountain Glen School site (1902 -1950). When ascending the Tobacco Creek Ravine you are provided with another panoramic view. The trail continues east for 3 miles and then one mile north into the town of Miami, then southeast again passing through fertile farm land (former Tall Grass Prairie). Courtesy of Trails Manitoba.","Le sentier Miami-Thompson passe de la route de démarcation entre les municipalités rurales de Thompson et de Lorne, près de Deerwood, vers l’extrémité septentrionale du chemin Ridge et jusqu’à la route de démarcation avec la municipalité rurale de Stanley.  Ce secteur unique en son genre met en valeur l’escarpement du Manitoba – l’une des rares caractéristiques de notre paysage qui datent de l’époque précédant l’ancien glacier. Dans ce secteur, vous profiterez de points de vue saisissants. Plusieurs belvédères offrent d’excellentes vues sur les basses terres de la vallée de la rivière Rouge depuis le sommet de l’escarpement, notamment sur le parc Wayside. En bas de la colline Wiener, le sentier croise la route 23 et descend vers la passerelle du ruisseau Tobacco, près du site de l’école Mountain Glen (1902-1950). Lors de votre descente vers le ravin du ruisseau Tobacco, une autre vue panoramique s’ouvre devant vous. Le sentier continue vers l’est pendant près de 5 km et ensuite vers le nord pour environ 1,5 km, par la ville de Miami, puis vers le sud-est en traversant des terres agricoles fertiles (ancienne prairie à herbes hautes). Publié avec l’autorisation de Sentiers Manitoba.",Trails Manitoba,http://www.trailsmanitoba.ca/explore-manitoba-trails/assiniboine-delta-pembina-hills/miami-thompson-trail/,,,,,,,,,Manitoba,Manitoba,53.390000000000001,"Greenway, Road","Corridor vert, Route","Natural Trail, Gravel Trail, Gravel Road, Paved Road","Sentier naturel, Sentier en poussière de pierre, Route en gravier, Route pavée","Walking / hiking, Road cycling, Horseback riding","Marche / randonnée pédestre, Vélo de route, Équitation",-98.15975604,49.266233010000001
Midland Rotary Waterfront Trail,Midland Rotary Waterfront Trail,"The Midland Rotary Waterfront Trail connects the Tay Township trails from Ste. Marie among the Hurons in the south through Ste. Marie Park. It then continues along the residential waterfront to the Midland Town Dock and Downtown Core and on through recreational lands and private marinas to the Mid Pen Walking Trail in the north. In this corridor there are seven public parks featuring vantage point lookouts, resting amenities and photo opportunity flower gardens and a man-made waterfall. The Midland Rotary Waterfront Trail is an urban trail and is open to hiking, walking, cycling and snowmobiling. Courtesy of Ontario Trails","Le sentier Midland Rotary Waterfront rejoint les sentiers de la ville de Tay depuis Sainte-Marie-au-pays-des-Hurons au sud, en traversant le parc Sainte-Marie. Ensuite, il se poursuit dans la zone riveraine résidentielle jusqu’aux quais de la ville de Midland, au centre-ville, avant de traverser des terrains récréatifs et des marinas privés pour gagner le sentier pédestre Mid Pen, au nord. Dans ce corridor, sept parcs publics offrent des postes d’observation, des installations de repos et d’excellentes occasions de prendre des photos des jardins fleuris et d’une chute artificielle. Le sentier urbain Midland Rotary Waterfront accueille des amateurs de la randonnée, de la marche, du vélo et de la motoneige. Publié avec l’autorisation du Conseil des sentiers de l’Ontario.",Simcoe County Trails,https://www.simcoe.ca/InformationTechnology/Pages/TrailMaps.aspx,Ontario Trails,https://www.ontariotrails.on.ca/trails/view/midland-rotary-waterfront-trail/,,,,,,,Ontario,Ontario,6.960000000000000,Greenway,Corridor vert,Paved Trail,Sentier pavé,"Walking / hiking, Road cycling, Cross-country skiing","Marche / randonnée pédestre, Vélo de route, Ski de fond",-79.84574619,44.735294869999997
Graves Wildlife Sanctuary Trail,Graves Wildlife Sanctuary Trail,,,Summer Village of Argentia Beach,http://www.argentiabeach.ca/,,,,,,,,,Alberta,Alberta,2.540000000000000,Greenway,Corridor vert,Gravel Trail,Sentier en poussière de pierre,"Walking / hiking, Road cycling, Cross-country skiing, Mountain biking, Snowshoeing","Marche / randonnée pédestre, Vélo de route, Ski de fond, Vélo de montagne, Raquette",-114.0217402,53.053360470000001
Lesser Slave River Water Trail,Lesser Slave River Water Trail,,,,,,,,,,,,,Alberta,Alberta,78.870000000000005,Water Route,Voie navigable,Water Trail,Voie navigable,Paddling,Canotage,-114.0441799,55.169260399999999
Mont-Laurier à Grand-Remous,Mont-Laurier à Grand-Remous,,,La Route Verte,https://www.routeverte.com/cartographie-route-verte/,,,,,,,,,Quebec,Québec,35.899999999999999,Road,Route,Paved Road,Route pavée,"Walking / hiking, Road cycling, Mountain biking, Snowshoeing","Marche / randonnée pédestre, Vélo de route, Vélo de montagne, Raquette",-75.90606696,46.612715039999998
Regional Municipality of Glenboro-South Cypress,Regional Municipality of Glenboro-South Cypress,"The trail passes through mixed-grass prairie, a transition zone between the endangered tall-grass prairie of the east and the short-grass prairie of the west. Big bluestem, the plant that gives tall-grass prairie its name, stretches 2-m high in some areas including the edge of Spirit Sands. In other places, pincushion cacti are almost unnoticeable until their magenta blossoms open. Where the prairie meets forest or open sand, the unusual western hognose snake can sometimes be found in wait for its prey. Manitoba’s only lizard, the northern prairie skink can be found on grassy hillsides. Herds of majestic wapiti absent for decades, once again graze on the prairie. Courtesy of Trails Manitoba.","Le sentier traverse une prairie mixte, une zone de transition entre une prairie à herbes hautes en voie de disparition à l’est et une prairie à herbes courtes à l’ouest. Le barbon de Gérard, la plante typique des prairies à herbes hautes, atteint une hauteur de 2 m dans certains secteurs, dont l’extrémité des collines Spirit Sands. Dans d’autres secteurs, les mamillaires vivipares passent pratiquement inaperçues jusqu’à ce que leurs fleurs rouge magenta s’ouvrent. À l’endroit où la prairie rejoint la forêt ou le sable poreux, la rare couleuvre à nez retroussé peut parfois se montrer lorsqu’il guette sa proie. Le seul lézard manitobain, le scinque des prairies du nord peut apparaître sur des coteaux herbus. Des troupeaux de majestueux wapitis, absents pendant des dizaines d’années, pâturent de nouveau dans la prairie. Publié avec l’autorisation de Sentiers Manitoba.",Town of Glenboro,http://www.glenboro.com/transcanada-trail/,Trails Manitoba,https://www.trailsmanitoba.ca/assiniboine-delta-pembina-hills/glenboro-south-cypress-trail/,,,,,,,Manitoba,Manitoba,41.439999999999998,"Greenway, Road","Corridor vert, Route","Gravel Trail, Gravel Road, Paved Road","Sentier en poussière de pierre, Route en gravier, Route pavée","Walking / hiking, Cross-country skiing, Mountain biking, Snowshoeing","Marche / randonnée pédestre, Ski de fond, Vélo de montagne, Raquette",-99.07761096,49.622217030000002
Newfoundland T'Railway,Newfoundland T'Railway,"The T’Railway follows an old rail line from Channel Port aux Basques to St John’s. Now a linear provincial park, the trail provides a close-up view of the diverse landscape and culture on the island. You will see historic and new urban neighbourhoods, secluded forests, quiet meadows, fishing villages, inlets, sprawling barrens, massive rock outcrops and grand ocean and mountain views. To travel the T’Railway is to step back in time. The railway served Newfoundland from 1898-1988, moving so slowly on its narrow gauge track it was affectionately nicknamed the ‘Newfie Bullet’. Today reminders of the railway era abound. There are relic and restored stations, museums with old trains, railway cars now revamped as homes, and trestles – 132, which have been restored for trail users.","Le T’Railway suit une ancienne ligne de chemin de fer reliant Channel-Port-aux-Basques à St John’s. Maintenant un parc provincial linéaire, le sentier offre une vue rapprochée des différents paysages et aspects culturels caractérisant l’île. Vous pourrez y voir des quartiers historiques et des quartiers urbains modernes, des forêts retirées, des prairies tranquilles, des villages de pêcheurs, des criques, des landes immenses et des affleurements rocheux massifs; vous y aurez aussi des points de vue fantastiques sur l’océan et les montagnes. Faire une randonnée sur le T’Railway, c’est remonter dans le temps. Le chemin de fer a servi de 1898 à 1988, se déplaçant si lentement sur sa ligne à voie étroite qu’il avait été surnommé avec affection le « Newfie Bullet ». De nos jours, les vestiges rappelant la ligne de chemin de fer sont nombreux. Il y a des gares ferroviaires à l’état de vestiges et certaine restaurées, des musées où l’on peut admirer des trains anciens, des wagons transformés en habitations et des ponts sur chevalets – 132 – qui ont été restaurés pour les usagers du Sentier.",Newfoundland T'Railway Council,http://www.trailway.ca/,Grand Concourse Authority,http://www.grandconcourse.ca/,Newfoundland Tourism,http://www.explorenewfoundlandandlabrador.com/,,,,2135000,Newfoundland and Labrador,Terre-Neuve et Labrador,888.409999999999968,"Greenway, Road, Mixed-Use Trail","Corridor vert, Route, Sentier à usage mixte","Gravel Trail, Paved Trail, Gravel Road, Paved Road","Sentier en poussière de pierre, Sentier pavé, Route en gravier, Route pavée","Walking / hiking, Road cycling, Horseback riding, Cross-country skiing, Snowmobiling, Mountain biking","Marche / randonnée pédestre, Vélo de route, Équitation, Ski de fond, Motoneige, Vélo de montagne",-59.14196808,47.580764690000002
Buffalo Pound Provincial Park,Buffalo Pound Provincial Park,"Buffalo Pound Provincial Park was established in 1963 and pays tribute to its past use as a hunting ground by maintaining a herd of plains bison in a hillside paddock. This park is ideally located 32 km northeast of the City of Moose Jaw. Gently rolling prairie terrain, wildflowers in a wide palette of colours and songbirds galore are other features of this trail. Excellent hiking, mountain biking, cycling and cross-country skiing trails available in Buffalo Pound Provincial Park for trail users of all ages and levels. Courtesy of the Government of Saskatchewan.","Créé en 1963, le parc provincial Buffalo Pound rend hommage à son passé de terrain de chasse en maintenant un troupeau de bisons dans un enclos situé sur un coteau. Ce parc se trouve à une distance idéale de 32 km au nord-est de la ville de Moose Jaw. La prairie doucement ondulante, la vaste palette de couleurs des fleurs sauvages et les concerts d’oiseaux chanteurs figurent parmi les attraits de ce sentier. D’excellentes possibilités de randonnée, de promenade en vélo de montage, de cyclisme et de ski de fond s’offrent aux visiteurs de tous âges et niveaux dans le parc provincial Buffalo Pound. Publié avec l’autorisation du gouvernement de la Saskatchewan.",Buffalo Pound Provincial Park,https://www.tourismsaskatchewan.com/listings/299/buffalo-pound-provincial-park-trails,Saskatchewan Trails Association,https://sasktrails.ca/,,,,,,,Saskatchewan,Saskatchewan,16.800000000000001,"Greenway, Road","Corridor vert, Route","Natural Trail, Gravel Trail, Gravel Road, Paved Road","Sentier naturel, Sentier en poussière de pierre, Route en gravier, Route pavée","Walking / hiking, Road cycling, Cross-country skiing","Marche / randonnée pédestre, Vélo de route, Ski de fond",-105.2898581,50.557615020000000
Nine Mile Portage,Nine Mile Portage,"The Nine Mile Portage Heritage Trail connects past with present, water with land, urban with rural, recreation with discovery. This recreation trail is based on an ancient overland route created by the early aboriginal people of our area. One of the oldest known European records of the route appears on a 1688 map by Italian Vincenzo Coronelli labelled as 'Portage de dix Lieuel'.This portage came to be known as the 'Nine Mile Portage' by the British Military, which employed it strategically during the War of 1812. After the war, use continued until the first roads and the railway were established. Courtesy of the City of Barrie.","Le sentier légendaire Nine Mile Portage allie le passé et le présent, l’eau et la terre, l’urbain et le rural, les loisirs et la découverte. Ce sentier récréatif suit une vieille voie terrestre aménagée par les premiers peuples autochtones de notre région. L’un des premiers documents européens connus citant cette voie correspond à une carte rédigée en 1688 par l’Italien Vincenzo Coronelli, qui la nomme « Portage de dix Lieuel ». Cette route de portage a été baptisée « Nine Mile Portage » par les militaires britanniques, qui l’ont utilisée à des fins stratégiques pendant la guerre de 1812. Après la guerre, l’itinéraire a continué de servir jusqu’à l’aménagement des premières routes et du chemin de fer. Publié avec l’autorisation de la ville de Barrie.",City of Barrie,https://www.barrie.ca/Living/ParksTrails/Trails/Pages/NineMilePortage.aspx,Route Champlain,https://www.routechamplain.ca/en/listings/nine-mile-portage-heritage-trail/,,,,,,,Ontario,Ontario,11.430000000000000,"Greenway, Road","Corridor vert, Route","Gravel Trail, Paved Trail, Gravel Road, Paved Road","Sentier en poussière de pierre, Sentier pavé, Route en gravier, Route pavée","Walking / hiking, Road cycling, Cross-country skiing, Mountain biking, Snowshoeing","Marche / randonnée pédestre, Vélo de route, Ski de fond, Vélo de montagne, Raquette",-79.717077,44.399726999999999
City of Burnaby,City of Burnaby,,,City of Burnaby,http://www.burnaby.ca/Things-To-Do/Explore-Outdoors/Nature-Trails-And-Walks.html,,,,,,,,,British Columbia,Colombie-Britannique,14.940000000000000,"Greenway, Road","Corridor vert, Route","Natural Trail, Gravel Trail, Paved Trail, Paved Road","Sentier naturel, Sentier en poussière de pierre, Sentier pavé, Route pavée","Walking / hiking, Road cycling, Cross-country skiing, Rollerblading","Marche / randonnée pédestre, Vélo de route, Ski de fond, Patin à roues alignées",-122.8924159,49.290605999999997
